recv_time_ms,node,topic,latency_ms
1764453231305,lt-0,sensors/test/environment,40
1764453231314,lt-1,sensors/test/environment,41
1764453231325,lt-2,sensors/test/environment,41
1764453231335,lt-3,sensors/test/environment,41
1764453231345,lt-4,sensors/test/environment,41
1764453231355,lt-5,sensors/test/environment,40
1764453231366,lt-6,sensors/test/environment,41
1764453231377,lt-7,sensors/test/environment,41
1764453231387,lt-8,sensors/test/environment,41
1764453231396,lt-0,sensors/test/environment,41
1764453231397,lt-9,sensors/test/environment,41
1764453231405,lt-1,sensors/test/environment,41
1764453231407,lt-10,sensors/test/environment,41
1764453231416,lt-2,sensors/test/environment,41
1764453231417,lt-11,sensors/test/environment,40
1764453231426,lt-3,sensors/test/environment,41
1764453231428,lt-12,sensors/test/environment,41
1764453231436,lt-4,sensors/test/environment,41
1764453231438,lt-13,sensors/test/environment,41
1764453231450,lt-5,sensors/test/environment,45
1764453231450,lt-14,sensors/test/environment,42
1764453231457,lt-6,sensors/test/environment,41
1764453231459,lt-15,sensors/test/environment,41
1764453231468,lt-7,sensors/test/environment,41
1764453231469,lt-16,sensors/test/environment,40
1764453231478,lt-8,sensors/test/environment,41
1764453231480,lt-17,sensors/test/environment,41
1764453231489,lt-9,sensors/test/environment,41
1764453231489,lt-0,sensors/test/environment,41
1764453231491,lt-18,sensors/test/environment,41
1764453231496,lt-1,sensors/test/environment,41
1764453231498,lt-10,sensors/test/environment,41
1764453231501,lt-19,sensors/test/environment,41
1764453231507,lt-2,sensors/test/environment,41
1764453231508,lt-11,sensors/test/environment,41
1764453231511,lt-20,sensors/test/environment,41
1764453231517,lt-3,sensors/test/environment,41
1764453231519,lt-12,sensors/test/environment,41
1764453231521,lt-21,sensors/test/environment,40
1764453231527,lt-4,sensors/test/environment,41
1764453231529,lt-13,sensors/test/environment,41
1764453231532,lt-22,sensors/test/environment,41
1764453231539,lt-5,sensors/test/environment,41
1764453231539,lt-14,sensors/test/environment,40
1764453231542,lt-23,sensors/test/environment,40
1764453231548,lt-6,sensors/test/environment,41
1764453231550,lt-15,sensors/test/environment,41
1764453231553,lt-24,sensors/test/environment,41
1764453231559,lt-7,sensors/test/environment,41
1764453231560,lt-16,sensors/test/environment,41
1764453231563,lt-25,sensors/test/environment,41
1764453231569,lt-8,sensors/test/environment,41
1764453231571,lt-17,sensors/test/environment,41
1764453231574,lt-26,sensors/test/environment,41
1764453231580,lt-9,sensors/test/environment,41
1764453231580,lt-0,sensors/test/environment,41
1764453231582,lt-18,sensors/test/environment,41
1764453231584,lt-27,sensors/test/environment,41
1764453231587,lt-1,sensors/test/environment,41
1764453231589,lt-10,sensors/test/environment,41
1764453231592,lt-19,sensors/test/environment,41
1764453231595,lt-28,sensors/test/environment,41
1764453231598,lt-2,sensors/test/environment,41
1764453231599,lt-11,sensors/test/environment,41
1764453231602,lt-20,sensors/test/environment,41
1764453231605,lt-29,sensors/test/environment,41
1764453231608,lt-3,sensors/test/environment,41
1764453231611,lt-12,sensors/test/environment,42
1764453231612,lt-21,sensors/test/environment,41
1764453231615,lt-30,sensors/test/environment,40
1764453231618,lt-4,sensors/test/environment,41
1764453231620,lt-13,sensors/test/environment,41
1764453231623,lt-22,sensors/test/environment,41
1764453231626,lt-31,sensors/test/environment,41
1764453231630,lt-14,sensors/test/environment,41
1764453231630,lt-5,sensors/test/environment,41
1764453231633,lt-23,sensors/test/environment,41
1764453231636,lt-32,sensors/test/environment,41
1764453231640,lt-6,sensors/test/environment,42
1764453231641,lt-15,sensors/test/environment,41
1764453231645,lt-24,sensors/test/environment,42
1764453231646,lt-33,sensors/test/environment,40
1764453231650,lt-7,sensors/test/environment,41
1764453231651,lt-16,sensors/test/environment,41
1764453231654,lt-25,sensors/test/environment,41
1764453231657,lt-34,sensors/test/environment,41
1764453231660,lt-8,sensors/test/environment,41
1764453231662,lt-17,sensors/test/environment,41
1764453231665,lt-26,sensors/test/environment,41
1764453231667,lt-35,sensors/test/environment,41
1764453231671,lt-0,sensors/test/environment,40
1764453231671,lt-9,sensors/test/environment,41
1764453231673,lt-18,sensors/test/environment,41
1764453231675,lt-27,sensors/test/environment,41
1764453231679,lt-36,sensors/test/environment,42
1764453231679,lt-1,sensors/test/environment,42
1764453231680,lt-10,sensors/test/environment,41
1764453231683,lt-19,sensors/test/environment,41
1764453231686,lt-28,sensors/test/environment,41
1764453231689,lt-37,sensors/test/environment,42
1764453231690,lt-2,sensors/test/environment,42
1764453231691,lt-11,sensors/test/environment,41
1764453231694,lt-20,sensors/test/environment,42
1764453231697,lt-29,sensors/test/environment,42
1764453231699,lt-38,sensors/test/environment,41
1764453231700,lt-3,sensors/test/environment,42
1764453231701,lt-12,sensors/test/environment,41
1764453231703,lt-21,sensors/test/environment,41
1764453231706,lt-30,sensors/test/environment,41
1764453231709,lt-39,sensors/test/environment,41
1764453231710,lt-4,sensors/test/environment,42
1764453231711,lt-13,sensors/test/environment,41
1764453231714,lt-22,sensors/test/environment,41
1764453231717,lt-31,sensors/test/environment,41
1764453231719,lt-40,sensors/test/environment,40
1764453231721,lt-14,sensors/test/environment,41
1764453231722,lt-5,sensors/test/environment,42
1764453231724,lt-23,sensors/test/environment,41
1764453231727,lt-32,sensors/test/environment,41
1764453231731,lt-6,sensors/test/environment,41
1764453231732,lt-15,sensors/test/environment,41
1764453231732,lt-41,sensors/test/environment,41
1764453231737,lt-33,sensors/test/environment,41
1764453231737,lt-24,sensors/test/environment,42
1764453231741,lt-7,sensors/test/environment,40
1764453231743,lt-16,sensors/test/environment,42
1764453231743,lt-42,sensors/test/environment,41
1764453231745,lt-25,sensors/test/environment,41
1764453231748,lt-34,sensors/test/environment,40
1764453231751,lt-8,sensors/test/environment,41
1764453231752,lt-43,sensors/test/environment,40
1764453231754,lt-17,sensors/test/environment,42
1764453231756,lt-26,sensors/test/environment,41
1764453231758,lt-35,sensors/test/environment,41
1764453231762,lt-9,sensors/test/environment,41
1764453231763,lt-0,sensors/test/environment,42
1764453231763,lt-44,sensors/test/environment,41
1764453231764,lt-18,sensors/test/environment,41
1764453231766,lt-27,sensors/test/environment,41
1764453231769,lt-36,sensors/test/environment,41
1764453231770,lt-1,sensors/test/environment,41
1764453231771,lt-10,sensors/test/environment,41
1764453231774,lt-19,sensors/test/environment,41
1764453231775,lt-45,sensors/test/environment,42
1764453231777,lt-28,sensors/test/environment,41
1764453231779,lt-37,sensors/test/environment,41
1764453231781,lt-11,sensors/test/environment,41
1764453231781,lt-2,sensors/test/environment,41
1764453231785,lt-46,sensors/test/environment,41
1764453231785,lt-20,sensors/test/environment,41
1764453231787,lt-29,sensors/test/environment,40
1764453231790,lt-38,sensors/test/environment,41
1764453231791,lt-3,sensors/test/environment,41
1764453231792,lt-12,sensors/test/environment,40
1764453231794,lt-21,sensors/test/environment,41
1764453231795,lt-47,sensors/test/environment,40
1764453231797,lt-30,sensors/test/environment,41
1764453231800,lt-39,sensors/test/environment,41
1764453231801,lt-4,sensors/test/environment,41
1764453231802,lt-13,sensors/test/environment,41
1764453231805,lt-22,sensors/test/environment,41
1764453231806,lt-48,sensors/test/environment,41
1764453231809,lt-31,sensors/test/environment,41
1764453231810,lt-40,sensors/test/environment,41
1764453231812,lt-14,sensors/test/environment,40
1764453231812,lt-5,sensors/test/environment,41
1764453231815,lt-23,sensors/test/environment,40
1764453231816,lt-49,sensors/test/environment,41
1764453231818,lt-32,sensors/test/environment,41
1764453231822,lt-6,sensors/test/environment,41
1764453231823,lt-15,sensors/test/environment,41
1764453231823,lt-41,sensors/test/environment,41
1764453231828,lt-24,sensors/test/environment,41
1764453231828,lt-33,sensors/test/environment,41
1764453231832,lt-7,sensors/test/environment,41
1764453231834,lt-16,sensors/test/environment,41
1764453231834,lt-42,sensors/test/environment,41
1764453231836,lt-25,sensors/test/environment,41
1764453231839,lt-34,sensors/test/environment,41
1764453231842,lt-8,sensors/test/environment,41
1764453231843,lt-43,sensors/test/environment,41
1764453231845,lt-17,sensors/test/environment,41
1764453231847,lt-26,sensors/test/environment,41
1764453231850,lt-35,sensors/test/environment,42
1764453231853,lt-9,sensors/test/environment,41
1764453231854,lt-0,sensors/test/environment,41
1764453231856,lt-44,sensors/test/environment,43
1764453231856,lt-18,sensors/test/environment,42
1764453231857,lt-27,sensors/test/environment,41
1764453231861,lt-36,sensors/test/environment,42
1764453231861,lt-1,sensors/test/environment,40
1764453231863,lt-10,sensors/test/environment,41
1764453231865,lt-19,sensors/test/environment,40
1764453231866,lt-45,sensors/test/environment,41
1764453231868,lt-28,sensors/test/environment,41
1764453231870,lt-37,sensors/test/environment,41
1764453231872,lt-11,sensors/test/environment,41
1764453231873,lt-2,sensors/test/environment,42
1764453231876,lt-20,sensors/test/environment,40
1764453231876,lt-46,sensors/test/environment,41
1764453231878,lt-29,sensors/test/environment,41
1764453231881,lt-38,sensors/test/environment,41
1764453231882,lt-3,sensors/test/environment,41
1764453231883,lt-12,sensors/test/environment,41
1764453231885,lt-21,sensors/test/environment,40
1764453231886,lt-47,sensors/test/environment,41
1764453231888,lt-30,sensors/test/environment,41
1764453231891,lt-39,sensors/test/environment,41
1764453231892,lt-4,sensors/test/environment,41
1764453231893,lt-13,sensors/test/environment,41
1764453231897,lt-48,sensors/test/environment,41
1764453231898,lt-22,sensors/test/environment,42
1764453231901,lt-31,sensors/test/environment,42
1764453231901,lt-40,sensors/test/environment,41
1764453231903,lt-5,sensors/test/environment,41
1764453231903,lt-14,sensors/test/environment,41
1764453231906,lt-23,sensors/test/environment,41
1764453231907,lt-49,sensors/test/environment,41
1764453231909,lt-32,sensors/test/environment,41
1764453231913,lt-6,sensors/test/environment,41
1764453231914,lt-15,sensors/test/environment,41
1764453231915,lt-41,sensors/test/environment,42
1764453231919,lt-24,sensors/test/environment,41
1764453231920,lt-33,sensors/test/environment,42
1764453231923,lt-7,sensors/test/environment,41
1764453231925,lt-16,sensors/test/environment,41
1764453231925,lt-42,sensors/test/environment,41
1764453231927,lt-25,sensors/test/environment,41
1764453231930,lt-34,sensors/test/environment,41
1764453231933,lt-8,sensors/test/environment,41
1764453231934,lt-43,sensors/test/environment,41
1764453231936,lt-17,sensors/test/environment,41
1764453231938,lt-26,sensors/test/environment,40
1764453231940,lt-35,sensors/test/environment,40
1764453231944,lt-9,sensors/test/environment,41
1764453231945,lt-0,sensors/test/environment,41
1764453231946,lt-44,sensors/test/environment,41
1764453231947,lt-18,sensors/test/environment,41
1764453231948,lt-27,sensors/test/environment,41
1764453231952,lt-36,sensors/test/environment,41
1764453231953,lt-1,sensors/test/environment,42
1764453231954,lt-10,sensors/test/environment,41
1764453231956,lt-19,sensors/test/environment,41
1764453231957,lt-45,sensors/test/environment,41
1764453231959,lt-28,sensors/test/environment,41
1764453231961,lt-37,sensors/test/environment,41
1764453231963,lt-11,sensors/test/environment,41
1764453231964,lt-2,sensors/test/environment,41
1764453231967,lt-20,sensors/test/environment,41
1764453231967,lt-46,sensors/test/environment,41
1764453231969,lt-29,sensors/test/environment,41
1764453231972,lt-38,sensors/test/environment,41
1764453231973,lt-3,sensors/test/environment,41
1764453231974,lt-12,sensors/test/environment,41
1764453231976,lt-21,sensors/test/environment,41
1764453231977,lt-47,sensors/test/environment,41
1764453231979,lt-30,sensors/test/environment,41
1764453231982,lt-39,sensors/test/environment,41
1764453231985,lt-4,sensors/test/environment,43
1764453231985,lt-13,sensors/test/environment,42
1764453231989,lt-22,sensors/test/environment,41
1764453231989,lt-48,sensors/test/environment,42
1764453231992,lt-31,sensors/test/environment,42
1764453231992,lt-40,sensors/test/environment,41
1764453231994,lt-14,sensors/test/environment,40
